huc8,tnmid,metasourceid,sourcedatadesc,sourceoriginator,loaddate,areaacres,areasqkm,states,name,globalid,shape_Length,shape_Area,__index_level_0__,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15050202,{21A6AE9C-8C85-4578-AE5A-368093D0E9E5},,,,2012-06-11 07:54:57,1587400.21,6423.99,"AZ,MX",Upper San Pedro,{D260CF32-F451-43CF-B63B-37F56EEC9A02},5.472282818182448,0.610343158977322,434,386.53503,523.1844,500.8916,289.6401,467.39075,304.46643,282.52197,433.18973,375.8537,307.8635,589.6503,253.07213,299.62485,375.18777,394.7637,360.3415,402.07535,467.3076,280.52118,520.4226,300.1729,375.56677,345.69745,514.93915,528.7414,458.65167,315.46982,225.87518,321.30466,406.64398
15080102,{568424D6-AAD7-4741-BEF8-CC7DFC5DDDB0},,,,2012-06-11 07:54:57,3060043.61,12383.57,"AZ,MX",Rio Sonoyta,{3233D141-D4E2-4530-BBE3-1D174E205DD0},6.2298301424074864,1.1750518392739016,435,144.48341,255.09132,254.64563,128.98935,181.1735,130.18991,118.52549,225.06071,144.09174,80.58631,177.01013,74.34874,224.97343,133.12337,198.33514,107.178925,71.460526,189.38478,67.67337,150.06296,108.5419,306.54526,220.30226,253.44519,239.99583,128.87,201.10805,156.29077,300.7795,214.08005
14080106,{D1677351-E56E-4D3E-83F2-6FCBC192BA92},,,,2012-06-11 07:54:57,2927136.55,11845.71,"AZ,NM",Chaco,{AC5AE26D-51AE-4B94-BD10-642E9AB4CB61},6.789478660725958,1.1855913319521034,607,225.29059,292.17133,236.60252,216.9002,250.08096,145.0722,316.08356,209.13562,312.66882,135.55176,221.61086,146.04156,220.18776,226.63351,265.17844,201.67145,269.26205,195.49356,209.51219,234.48195,248.33696,182.57016,230.23433,191.07779,346.71024,208.25848,210.58914,106.11212,182.35341,177.94356
15020003,{235091EF-6669-4A64-BA91-64627FEDEA28},,,,2012-06-11 07:54:57,1446077.4,5852.07,"AZ,NM",Carrizo Wash,{9644B821-2D0F-4609-A1DB-7431F16EAF51},4.734427139379416,0.5735119406261815,609,285.54492,447.34106,385.52808,348.25497,330.66382,272.28857,395.32654,390.4274,370.8055,145.656,357.62848,275.25308,287.21072,259.7946,390.70126,308.1943,334.94858,248.26859,269.56787,312.9586,289.8491,249.5679,336.38376,273.10117,413.54254,256.83325,248.7493,201.35123,246.634,276.58408
15020004,{26DFDAF3-F10C-424A-8FF7-433F1B7FCE00},,,,2021-01-21 14:27:13,1707350.17,6909.41,"AZ,NM",Zuni,{E606D6E7-1604-4177-9048-A005D43020B5},5.1166502590093845,0.6817553761627198,610,304.62256,435.32178,384.6729,344.06238,351.1552,286.28613,399.92648,399.3389,370.33395,172.51894,314.06165,270.13895,283.9051,236.94296,348.22397,275.77832,328.20377,286.57123,260.43066,311.6256,288.91837,235.6319,266.38904,230.7168,366.51706,244.62343,260.36063,178.05533,250.4448,264.97702
15040002,{89233D54-146D-4110-8DE8-516DD7B99C2E},,,,2012-06-11 07:54:57,1310977.35,5305.34,"AZ,NM",Upper Gila-Mangas,{939CCC84-0931-4B34-853B-2BFF8E022644},4.442041925980159,0.5109003833655223,622,455.39096,553.1023,498.9751,276.10532,398.54385,354.7088,397.99698,420.876,346.99072,162.59546,434.81454,274.01007,231.7871,395.96378,451.02942,404.5974,443.2363,385.23676,264.2349,474.95142,190.4948,275.60788,316.67627,367.72867,416.94717,339.96066,321.0888,262.41464,305.11652,275.66745
15080200,{A078F6A3-1492-4880-AB0B-556324E832FA},{566E7651-2594-4C85-AE09-DB338B355F62},3D Elevation Product 1/3 Arc-second 1 x 1 degree ArcGrid,U.S. Geological Survey,2021-06-30 16:15:49,6358139.58,25730.5,"AZ,MX",Rio De La Concepcion,{4FA80659-5CEF-4389-8ED8-254D82766EC2},10.602048669164493,2.423928430673097,719,311.87875,474.59375,460.4713,299.16055,452.80136,286.89197,255.226,438.113,329.42194,248.4649,564.27246,229.80544,359.40652,304.0922,337.3306,232.58928,256.7409,317.48294,214.1136,357.8517,205.30698,334.29974,271.81174,464.67883,390.5091,285.61182,317.01816,348.49664,422.34912,381.17017
15020006,{632550B8-E9F8-45AF-AB7D-AF10E5BAA921},,,,2012-06-11 07:54:57,1223477.44,4951.24,"AZ,NM",Upper Puerco,{146553E1-902E-4170-90E1-2C673F344BF7},5.0252843134196485,0.4921341802626698,720,327.51746,411.62546,388.90598,298.64246,373.5986,217.8456,437.77682,367.36115,428.88794,179.15317,336.30484,239.45421,287.27295,258.8192,348.63138,257.86017,309.40103,303.8125,257.79767,300.0077,316.76993,202.57428,271.74295,220.79674,366.86328,273.65533,299.1213,160.63173,264.03024,232.15982
15040004,{C0E1995D-1839-4D00-8985-8EB62BA2B736},,,,2012-06-11 07:54:57,1793336.54,7257.38,"AZ,NM",San Francisco,{ACF8ABFC-53A0-418F-B3EA-EF5EF5985A7E},5.581778210817803,0.704611145219486,721,557.70636,650.227,620.5337,418.62103,537.5191,357.78162,497.72443,534.1625,551.2802,226.64616,601.8906,352.28568,383.04178,483.38956,627.4317,566.7483,538.6853,497.63672,433.4117,513.1387,354.1782,423.27203,608.9287,403.21155,527.9282,421.8574,358.55328,270.16376,357.78314,346.89478
14080204,{BCFFA668-8A9C-47EE-BBA0-A982BDF57B9F},,,,2012-06-11 07:54:57,2623451.7,10616.74,"AZ,NM,UT",Chinle,{E7085953-7165-45BD-8070-C94FB7DD98C8},7.7697508825057415,1.066831382145142,722,204.93852,352.5252,248.72978,192.42738,270.05313,114.51552,296.25177,181.25359,315.5192,119.74071,175.28262,112.80963,160.1343,220.13478,300.7753,171.38058,243.67285,186.28563,210.99728,272.46182,241.76425,228.07033,260.88657,176.6979,332.0329,222.02739,186.57414,86.84362,236.27295,208.03348
15010006,{DA8A0176-2A6C-41F5-AD95-FFDE023BF841},,,,2012-06-11 07:54:57,597958.24,2419.85,"AZ,NV",Grand Wash,{C59FDC80-EDE2-44E1-87EB-2E50981BA493},2.8623220981539714,0.2433225801614881,723,208.99203,316.9447,386.7034,209.78613,372.94226,111.057236,198.08188,350.2771,182.60384,118.326195,230.27501,53.182896,200.09872,191.1325,514.254,193.57294,163.07259,141.97786,175.15628,221.07649,360.7501,267.4132,243.6774,243.35832,205.5165,258.04977,297.0548,158.8127,265.988,275.16342
14080201,{C163FBED-AB06-4340-A278-B50B7705D53B},,,,2012-06-11 07:54:57,1276408.26,5165.45,"AZ,CO,NM,UT",Lower San Juan-Four Corners,{B4E45BB9-668E-40D6-862C-8B92968C62E1},4.895611947302824,0.524993087768541,724,199.52534,328.53464,353.1919,212.3257,308.8187,128.74298,390.99097,201.11357,307.60175,168.90034,278.94528,152.90018,232.8042,236.38422,354.38574,184.2696,257.27505,243.52089,224.95822,318.24847,224.7799,238.19849,269.12024,230.51167,320.9207,287.41013,174.30002,72.67443,258.88263,166.35497
15010002,{1A0B0282-69CF-4304-A74B-ADA090EB54B4},,,,2012-06-11 07:54:57,1632764.63,6607.57,AZ,Grand Canyon,{20CAF047-97AB-49E1-B2D3-03F7E6C97470},7.509277834123034,0.6614533340380515,1021,281.00974,386.0688,411.14355,306.6991,444.53296,158.5193,354.57266,380.31177,380.6303,171.79333,313.79044,149.59146,314.3098,310.94882,591.5586,279.0221,238.05814,281.81042,211.28856,316.36432,408.28043,264.5742,309.50137,263.5922,406.45096,332.74356,294.42667,155.99124,269.95468,205.88011
15010004,{D51204E6-484B-4DBD-8BEA-202CDC301383},,,,2012-06-11 07:54:57,1877756.65,7599.02,AZ,Havasu Canyon,{B0B1CE74-2BCF-4A19-B138-789B14077B70},5.293533930606079,0.7573505821145747,1022,369.77206,541.8564,530.1468,359.32654,531.2958,224.14131,476.15515,447.75415,507.3474,212.29295,388.17093,233.66286,364.49332,391.88593,681.52325,335.6937,346.37622,384.56744,285.54486,411.7862,483.57822,335.27927,392.65634,352.97702,473.87897,392.9099,347.47913,209.99173,330.68283,262.08224
15010007,{D194D876-BC01-476D-B408-58F1DFCF4567},,,,2012-06-11 07:54:57,905250.56,3663.42,AZ,Red Lake,{27ADA2FA-487F-4ED2-B3A6-186B49ABC674},4.021130842861266,0.3638197638691455,1023,271.36655,353.41833,370.09485,269.68405,250.15816,61.415848,221.4744,289.49896,321.54367,136.45697,180.2468,114.59504,272.2939,210.60551,483.6551,140.4734,138.56885,208.18866,193.04025,268.80777,305.76776,218.21375,202.07646,234.2829,230.26265,259.12305,278.77182,110.23593,209.39397,223.94836
15010009,{E9A87E72-3349-4269-8D4F-A7B980D4B298},,,,2012-06-11 07:54:57,1069157.13,4326.73,"AZ,UT",Fort Pearce Wash,{2097693D-3853-49C9-9AA5-5ECC0F2B231B},3.953473328282532,0.4365514937698856,1024,209.30943,400.06738,436.7765,266.39746,471.06293,195.1053,384.77582,461.64423,360.16678,183.44945,348.50333,132.58737,309.9245,289.9365,614.34906,267.56027,224.40579,197.86963,187.9582,283.20496,419.77127,279.4103,297.89642,261.50586,344.55585,297.66922,272.04413,156.66858,252.22028,198.49548
15010014,{8E4D2453-7D10-443C-880A-04E52EB5C866},,,,2012-06-11 07:54:57,443707.76,1795.62,AZ,Detrital Wash,{1AF33FAF-A5A5-4483-8BA3-25B1E5FD8EF7},2.569330170169744,0.17876637868282827,1025,203.37819,302.57947,327.57275,98.18204,200.74406,61.795692,168.31718,244.96141,152.0524,66.28168,154.58763,31.977762,184.02173,159.21481,415.4333,71.01472,76.27889,109.511536,141.49017,206.9391,237.70244,183.17854,174.98103,164.6249,138.59575,181.9345,221.67934,83.54799,157.65968,228.26973
15020001,{71DC02F5-D29A-44DD-B537-82027DBB6AEF},,,,2021-01-21 14:27:18,515343.48,2085.52,"AZ,NM",Little Colorado Headwaters,{8DC55941-1DF1-4847-B0A7-46FC353948A9},2.5336533701572597,0.20379366864619114,1026,408.99597,541.9661,447.71176,420.39407,428.6511,302.40536,397.38168,343.89368,496.88242,203.42316,524.183,333.63898,385.30133,380.7964,480.96655,398.14014,437.632,449.55704,369.34546,410.25098,387.8773,333.6684,575.99915,367.29065,535.2176,301.30893,287.96674,224.15614,317.93594,280.63092
15020002,{1680E028-AB9B-4235-83C1-F448188260B7},,,,2021-01-21 14:27:19,1037723.36,4199.52,"AZ,NM",Upper Little Colorado,{F699E677-5802-4B54-BA13-AE171089EDE0},6.126102086536178,0.4125251278657235,1027,289.8531,448.2673,376.07703,350.9363,346.58923,228.84088,293.7645,285.89682,358.62787,162.6906,344.1857,253.015,265.06177,250.70293,344.93765,236.09491,302.45044,300.88654,206.64635,309.46475,286.1681,271.19324,313.46136,277.22095,421.00967,286.6147,235.70068,192.12505,264.02585,240.53346
