huc8,tnmid,metasourceid,sourcedatadesc,sourceoriginator,loaddate,areaacres,areasqkm,states,name,globalid,shape_Length,shape_Area,__index_level_0__,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15050202,{21A6AE9C-8C85-4578-AE5A-368093D0E9E5},,,,2012-06-11 07:54:57,1587400.21,6423.99,"AZ,MX",Upper San Pedro,{D260CF32-F451-43CF-B63B-37F56EEC9A02},5.472282818182448,0.610343158977322,434,288.57992936469225,289.02656545078315,289.32135998614007,289.834701925223,289.41494124367415,290.4082903472025,289.75932164995345,288.58182550118147,289.31488080192975,290.0980792174934,288.82329973437095,289.7231701622005,289.4919314251758,289.22789587270523,289.30733644487617,289.7063847293202,289.4269490504232,289.2311881060798,290.0288473318333,288.59133304629114,289.50336963283195,289.50079796319613,289.9182896248241,289.92929177341625,290.1037438487078,289.4706317741169,290.393434541354,291.08035911785686,288.99616741767085,290.2129807930586
15080102,{568424D6-AAD7-4741-BEF8-CC7DFC5DDDB0},,,,2012-06-11 07:54:57,3060043.61,12383.57,"AZ,MX",Rio Sonoyta,{3233D141-D4E2-4530-BBE3-1D174E205DD0},6.2298301424074864,1.1750518392739016,435,294.4668033980994,295.3861844143733,294.6794442766823,295.23046691638297,294.62142367281865,295.8977901650747,295.49312185677667,294.43901776679843,294.6457300240208,295.9675341274371,295.02263166997045,295.51300035302086,295.32149481188515,295.23945370861327,294.643788628804,295.08160457339955,294.81310042401293,294.59934341194685,295.39700853808927,294.3995314350694,294.6911577782789,294.7684608046191,295.7691394872013,296.57617139023125,296.976462918133,296.0658888307991,296.5155280304094,296.6761029010373,294.8768801730494,295.9781596095082
14080106,{D1677351-E56E-4D3E-83F2-6FCBC192BA92},,,,2012-06-11 07:54:57,2927136.55,11845.71,"AZ,NM",Chaco,{AC5AE26D-51AE-4B94-BD10-642E9AB4CB61},6.789478660725958,1.1855913319521034,607,282.3194114967573,282.98509547066317,282.70920206546305,283.17306573297003,283.27451255307926,284.0557885790401,283.22906150523016,282.93377539016245,283.1323253797606,284.27652383986276,283.32670830815465,283.73364406650575,283.75992362444555,283.5211017529385,283.490763435321,283.40813100098705,283.3939628017078,282.72267541133306,283.36544679459865,282.39976961803427,283.24410573150726,283.90406754096426,283.22949479396215,283.1910860797111,283.8264582051062,283.95465296799176,285.11968533627464,285.76426378537803,283.8439274730196,284.89942843234854
15020003,{235091EF-6669-4A64-BA91-64627FEDEA28},,,,2012-06-11 07:54:57,1446077.4,5852.07,"AZ,NM",Carrizo Wash,{9644B821-2D0F-4609-A1DB-7431F16EAF51},4.734427139379416,0.5735119406261815,609,281.24508472162984,281.7325785864297,282.03374084349684,282.2854520732562,282.24834126918256,283.16755851180534,282.36838034747547,281.4289302070521,282.0501054333603,282.8606546494989,282.15484698056883,282.5699273073562,282.4878968537334,282.3430991760146,282.51298932354365,282.32912580791987,281.9728817451191,281.8856551907655,282.2881574713343,281.2508192168564,281.9039434529813,282.2160672808048,281.7364751355033,281.7857396194275,282.882298584228,283.184509474032,284.6024085864344,285.1684975718686,283.1841740911206,284.2843885627416
15020004,{26DFDAF3-F10C-424A-8FF7-433F1B7FCE00},,,,2021-01-21 14:27:13,1707350.17,6909.41,"AZ,NM",Zuni,{E606D6E7-1604-4177-9048-A005D43020B5},5.1166502590093845,0.6817553761627198,610,281.69803278394835,282.2457161770228,282.1641110639799,282.57295534830814,282.52045126186476,283.3517056829154,282.746729354488,282.0208421848177,282.64955278035956,283.67913772284214,282.6113086070938,283.0661840512003,283.00616839980285,282.8175426754232,282.87502039756305,282.5982818497146,281.9450890235152,282.0777371746796,282.5164853593134,281.0685011964099,281.48384273849615,282.48372048178555,282.2526343325175,282.2347256566067,283.2010281011851,283.44755044751037,284.5721847312383,284.91815108222056,283.34682828158697,284.40498571108014
15040002,{89233D54-146D-4110-8DE8-516DD7B99C2E},,,,2012-06-11 07:54:57,1310977.35,5305.34,"AZ,NM",Upper Gila-Mangas,{939CCC84-0931-4B34-853B-2BFF8E022644},4.442041925980159,0.5109003833655223,622,286.34189058926273,286.7500155951914,287.17182841924034,287.46723882383844,287.12387842852763,287.8267028575415,287.0585366928756,286.2473590652635,287.1391793910035,288.02793082688066,286.9764737523076,287.6641417268618,287.74634367505683,287.2293304228103,287.2156859780068,287.52255207854984,287.3688388683445,286.9920713063933,287.6281233741952,286.6297930804229,287.17336560134476,287.3286945333741,287.04283437374113,287.37132932336516,287.6381140618766,288.00621389811675,289.14094222441815,289.90806820449274,288.12230569240364,289.12845309544383
15080200,{A078F6A3-1492-4880-AB0B-556324E832FA},{566E7651-2594-4C85-AE09-DB338B355F62},3D Elevation Product 1/3 Arc-second 1 x 1 degree ArcGrid,U.S. Geological Survey,2021-06-30 16:15:49,6358139.58,25730.5,"AZ,MX",Rio De La Concepcion,{4FA80659-5CEF-4389-8ED8-254D82766EC2},10.602048669164493,2.423928430673097,719,292.2652387244242,292.9864728216281,292.48612632876757,293.1621139087145,292.46543352746323,293.84767519480937,293.4683429696025,292.09352349133025,292.509987766987,293.34178003643547,292.2876410524958,293.0777713064735,292.9709277180519,292.8661460502268,292.68696751835716,293.1554334275926,293.0222138058953,292.7149287911962,293.5272043913783,292.53889331978655,292.9707264483714,293.0598772253664,293.7790046531002,294.3369888621803,294.5169650527024,294.3432729585562,295.0912773906227,295.5094016460863,293.34904808132353,294.3335460995437
15020006,{632550B8-E9F8-45AF-AB7D-AF10E5BAA921},,,,2012-06-11 07:54:57,1223477.44,4951.24,"AZ,NM",Upper Puerco,{146553E1-902E-4170-90E1-2C673F344BF7},5.0252843134196485,0.4921341802626698,720,281.46263421716293,281.8149537714983,281.48539058520885,281.91260482133487,281.85493781588735,282.58344957835754,281.97551185667413,281.41858862271533,281.7378096243458,283.0063916956953,281.95948681913734,282.3068050073439,282.28059982020903,282.02393536775674,282.14871718519225,281.9339066689352,281.8427043032016,281.5261791832696,282.16130984643513,281.2184366802268,281.7110955495937,282.3739149086049,281.93876508004223,281.9239635386875,282.81371620097394,282.68495113502416,283.770131229048,284.47819077193293,282.47853094042483,283.71529126814943
15040004,{C0E1995D-1839-4D00-8985-8EB62BA2B736},,,,2012-06-11 07:54:57,1793336.54,7257.38,"AZ,NM",San Francisco,{ACF8ABFC-53A0-418F-B3EA-EF5EF5985A7E},5.581778210817803,0.704611145219486,721,282.37832674991716,282.7598118116724,282.88047601168705,283.21444946248334,283.1528973371339,284.0956477463003,283.18408863665286,282.31975206269107,283.4192998920159,284.34378833267345,283.11686943927214,283.8238357759078,283.8327541840631,283.3653104423165,283.3473313535004,283.6332813664904,283.3203464733228,283.1960203689397,283.76321318476323,282.55840660260105,283.65656508974,283.66476814127475,282.94575627724345,283.131862096782,284.00137988056383,284.5812890048468,285.64959845583957,286.69219535357803,284.5986690449444,285.7094915213824
14080204,{BCFFA668-8A9C-47EE-BBA0-A982BDF57B9F},,,,2012-06-11 07:54:57,2623451.7,10616.74,"AZ,NM,UT",Chinle,{E7085953-7165-45BD-8070-C94FB7DD98C8},7.7697508825057415,1.066831382145142,722,282.6194301864473,283.40913141319777,283.42036349875775,284.04750678402445,283.77196764800146,284.84153186971076,283.78025412334296,283.5587029213945,283.70677084909653,285.0150022920104,284.1634024872987,284.5534283303859,284.71013934553645,284.3437202087197,284.2100500899019,284.1994651051743,283.9971477321292,283.2331356169833,283.8906475413694,282.4704753424098,283.45082370072925,284.0222862250332,283.5220523232956,283.5244307407115,284.16685029390936,284.1575723645944,285.46154851290925,285.8262067175518,283.83184620467,284.694225847206
15010006,{DA8A0176-2A6C-41F5-AD95-FFDE023BF841},,,,2012-06-11 07:54:57,597958.24,2419.85,"AZ,NV",Grand Wash,{C59FDC80-EDE2-44E1-87EB-2E50981BA493},2.8623220981539714,0.2433225801614881,723,287.29797725476834,288.85232808172805,288.3237722399254,289.5091264992916,288.9252521110807,289.85634158476336,289.2671312669026,288.066713807036,288.20227341356485,289.95592279714987,289.149759271055,288.85603071231753,289.9788538872828,289.64126538432396,288.6922787157342,289.3234390827766,289.3644933670257,288.58062068367855,289.27764311272733,288.62287033431323,288.4446106663245,289.2948125529171,289.3496780248009,289.4311379574189,290.65250923782526,289.7109944132102,290.2508925545578,290.9904570017695,288.85856237479726,289.90941319736055
14080201,{C163FBED-AB06-4340-A278-B50B7705D53B},,,,2012-06-11 07:54:57,1276408.26,5165.45,"AZ,CO,NM,UT",Lower San Juan-Four Corners,{B4E45BB9-668E-40D6-862C-8B92968C62E1},4.895611947302824,0.524993087768541,724,283.0773973379728,284.4676281629501,283.9131863629768,284.7178285395795,284.3612867193606,285.31793799936514,284.47020200527004,284.57295756693117,284.5869429190828,285.7769240662356,285.0955667885209,285.30705906993643,285.3121471510142,285.09272045968515,285.08667925765116,285.1375333485307,285.15433063929845,284.1582463060962,285.00076798025066,283.53912940722654,284.5404381495536,285.2562037208234,284.6838725245846,284.19447739628197,285.14152363165647,284.75752135467053,285.7041458981411,286.28817370486905,284.05102990534857,284.8927333509249
15010002,{1A0B0282-69CF-4304-A74B-ADA090EB54B4},,,,2012-06-11 07:54:57,1632764.63,6607.57,AZ,Grand Canyon,{20CAF047-97AB-49E1-B2D3-03F7E6C97470},7.509277834123034,0.6614533340380515,1021,285.1772278053251,286.3034552611121,285.67411326526195,286.44908711681313,285.81181596490745,287.0914927413378,286.5068795450338,285.5286644699542,285.62332388550277,287.40086481144084,286.25388529454693,286.699743321032,286.9013101246019,286.73048671263643,286.0525337514012,286.57748008398084,286.7648111353976,285.92460560271746,286.3493885988321,285.55026181815094,285.85304807851486,286.55860321312633,286.3822267638845,286.66746443241647,287.2449950907957,286.8743066320907,287.76135097132277,288.46561550857103,286.2443889649276,287.56826134578284
15010004,{D51204E6-484B-4DBD-8BEA-202CDC301383},,,,2012-06-11 07:54:57,1877756.65,7599.02,AZ,Havasu Canyon,{B0B1CE74-2BCF-4A19-B138-789B14077B70},5.293533930606079,0.7573505821145747,1022,282.3895702197058,283.36441159920236,282.7903495941524,283.36064123937825,282.8449675483671,284.2102873699038,283.64590500313443,282.68778060799633,282.8480480714896,284.5838588161702,283.46561863304606,284.2643613404236,284.0785714942173,284.0168602189753,283.37808406982435,283.85788496608865,283.9947130962547,283.212215378454,283.659753369304,282.7656732755979,283.2714447927773,283.73644518990307,283.45443945164953,284.56368222287125,285.2651369528063,284.33171890048425,284.95826899380586,285.80949297454913,283.61365599637344,284.7256501523215
15010007,{D194D876-BC01-476D-B408-58F1DFCF4567},,,,2012-06-11 07:54:57,905250.56,3663.42,AZ,Red Lake,{27ADA2FA-487F-4ED2-B3A6-186B49ABC674},4.021130842861266,0.3638197638691455,1023,287.30078965546437,288.50026250303597,287.8896669911372,288.8097746519322,288.1564304707647,289.9515802062091,289.30920152996606,287.70500687288774,288.21045381847546,289.89335638450245,288.7045800096954,289.04173076572175,289.0031283428878,288.8862090148454,288.03697619402215,288.9925163812019,289.16966210837325,288.63384241079376,289.02946623911316,287.91124486672237,288.291176378704,288.73941199909143,288.6933459393575,288.914719060236,289.4840881112441,289.2360057327502,289.9387998509116,290.5530004233595,288.7871853305941,289.77550109672217
15010009,{E9A87E72-3349-4269-8D4F-A7B980D4B298},,,,2012-06-11 07:54:57,1069157.13,4326.73,"AZ,UT",Fort Pearce Wash,{2097693D-3853-49C9-9AA5-5ECC0F2B231B},3.953473328282532,0.4365514937698856,1024,284.5757929752531,285.733727206896,285.09044428520417,286.23341904380464,285.45899475817185,286.77588079634813,286.0341349455351,285.0607434231227,284.95138598140585,286.9075544797715,285.81461531677627,285.9828824249226,286.3433657170224,286.2359179100856,285.4124813749819,286.07553180765154,286.2078869555185,285.37620260806995,285.8422480308991,284.9765379673043,284.97629463056774,286.0601601982072,286.0260329348878,285.8912840189872,286.447426056749,286.31795322579393,287.11030800049525,287.6837198214525,285.70069706300916,286.9620269025126
15010014,{8E4D2453-7D10-443C-880A-04E52EB5C866},,,,2012-06-11 07:54:57,443707.76,1795.62,AZ,Detrital Wash,{1AF33FAF-A5A5-4483-8BA3-25B1E5FD8EF7},2.569330170169744,0.17876637868282827,1025,290.0516321376779,291.1235209664813,290.3175122535372,291.4766246126709,290.76234611737925,292.84513837154395,292.127312517586,290.5045643778172,290.9832868304678,292.6833522239934,291.55933622684876,291.76897452050974,291.7009624631345,291.7288956901893,290.6658668413521,291.64275653179817,291.66828004711397,291.38198694937347,291.78909519784503,290.67738321566685,290.94638520081384,291.6250297240332,291.5764271205421,291.6360759527287,292.3067611029323,291.96578140064605,292.86046699362527,293.49763239481024,291.6519010532813,292.6209063558487
15020001,{71DC02F5-D29A-44DD-B537-82027DBB6AEF},,,,2021-01-21 14:27:18,515343.48,2085.52,"AZ,NM",Little Colorado Headwaters,{8DC55941-1DF1-4847-B0A7-46FC353948A9},2.5336533701572597,0.20379366864619114,1026,279.99526798231665,280.58627066935975,280.7489994610033,281.0489796559291,281.03007841299467,281.68526630938896,280.92943968787415,279.9702791980026,280.914399266156,281.71061713712703,280.54861236413007,281.2372687396008,281.0345474142105,280.84377137094253,280.87439598230014,281.0518925022793,281.13023455158134,280.9497420446009,281.4629770518317,280.62580390461966,281.3153497230163,281.39711810229,281.0105536350552,281.0937728574827,282.19969129921924,282.33681501270263,283.58871961093854,284.27273912042534,282.2386078446101,283.3899992333701
